Security;GTBRL1YR Corp                                                   ;;;Security;GTBRL2YR Corp                                                   ;;;Security;GTBRL3YR Corp                                                   ;;;Security;GTBRL4YR Corp                                                   ;
Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;
End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;
Period;M;;;Period;M;;;Period;M;;;Period;M;
Currency;BRL;;;Currency;BRL;;;Currency;BRL;;;Currency;BRL;
;;;;;;;;;;;;;;
Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST
30/06/2010;11,9482;11,9482;;30/07/2010;11,5177;11,5177;;30/06/2010;12,2824;12,2824;;30/09/2022;11,7892;11,7892
30/07/2010;11,1857;11,1857;;31/08/2010;11,3472;11,3472;;30/07/2010;11,9701;11,9701;;31/08/2022;12,02225;12,0223
31/08/2010;11,0597;11,0597;;29/10/2010;11,8598;11,8598;;31/08/2010;11,6346;11,6346;;30/06/2021;8,0593;8,0593
30/09/2010;11,1279;11,1279;;30/11/2010;12,405;12,405;;30/09/2010;12,0203;12,0203;;31/05/2021;7,9466;7,9466
29/10/2010;11,2665;11,2665;;31/12/2010;12,4747;12,4747;;29/10/2010;11,8349;11,8349;;30/04/2021;7,8835;7,8835
30/11/2010;11,9756;11,9756;;31/01/2011;12,9722;12,9722;;30/11/2010;12,3748;12,3748;;31/03/2021;8,14125;8,1413
31/12/2010;11,9504;11,9504;;28/02/2011;12,7971;12,7971;;31/12/2010;12,3247;12,3247;;26/02/2021;7,3201;7,3201
31/01/2011;12,4456;12,4456;;31/03/2011;12,7627;12,7627;;31/01/2011;13,0149;13,0149;;29/01/2021;6,18085;6,1809
28/02/2011;12,515;12,515;;29/04/2011;12,75915;12,7592;;28/02/2011;12,755;12,755;;31/12/2020;5,4608;5,4608
31/03/2011;12,22305;12,2231;;31/05/2011;12,5648;12,5648;;31/03/2011;12,9682;12,9682;;30/11/2020;6,62765;6,6277
29/04/2011;12,5386;12,5386;;30/06/2011;12,76565;12,7657;;29/04/2011;12,74415;12,7442;;30/10/2020;6,50555;6,5056
31/05/2011;12,49045;12,4904;;29/07/2011;12,9071;12,9071;;31/05/2011;12,52575;12,5258;;30/09/2020;6,2177;6,2177
30/06/2011;12,59605;12,5961;;31/08/2011;11,33625;11,3363;;30/06/2011;12,7519;12,7519;;31/08/2020;5,7453;5,7453
29/07/2011;12,6375;12,6375;;30/09/2011;10,9387;10,9387;;29/07/2011;12,9163;12,9163;;31/07/2020;4,76715;4,7672
31/08/2011;11,4025;11,4025;;31/10/2011;10,78705;10,7871;;31/08/2011;11,47295;11,473;;30/06/2020;5,1048;5,1048
30/09/2011;10,5127;10,5127;;30/11/2011;9,9992;9,9992;;30/09/2011;11,2337;11,2337;;29/05/2020;5,3279;5,3279
31/10/2011;10,42555;10,4256;;30/12/2011;10,5746;10,5746;;31/10/2011;11,08025;11,0803;;30/04/2020;5,91425;5,9143
30/11/2011;9,79965;9,7997;;31/01/2012;10,06785;10,0679;;30/11/2011;10,38365;10,3837;;31/03/2020;6,34675;6,3468
30/12/2011;10,1351;10,1351;;29/02/2012;10,00595;10,006;;30/12/2011;8,86845;8,8685;;28/02/2020;5,10655;5,1066
31/01/2012;9,60125;9,6013;;30/03/2012;9,83735;9,8374;;31/01/2012;10,56755;10,5676;;31/01/2020;5,5059;5,5059
29/02/2012;9,35835;9,3584;;30/04/2012;9,01855;9,0186;;29/02/2012;10,3438;10,3438;;31/12/2019;5,7652;5,7652
30/03/2012;9,06215;9,0622;;31/05/2012;8,501;8,501;;30/03/2012;10,14705;10,1471;;29/11/2019;5,8422;5,8422
30/04/2012;8,38035;8,3804;;29/06/2012;8,13395;8,134;;30/04/2012;9,4253;9,4253;;31/10/2019;5,37515;5,3752
31/05/2012;8,06175;8,0618;;31/07/2012;8,0925;8,0925;;31/05/2012;8,82095;8,821;;30/09/2019;6,00225;6,0023
29/06/2012;7,6317;7,6317;;31/08/2012;8,1175;8,1175;;29/06/2012;8,40575;8,4058;;30/08/2019;6,5255;6,5255
31/07/2012;7,6375;7,6375;;28/09/2012;7,9475;7,9475;;31/07/2012;8,327;8,327;;31/07/2019;6,33385;6,3339
31/08/2012;7,422501;7,4225;;31/10/2012;7,8825;7,8825;;31/08/2012;8,376;8,376;;28/06/2019;6,6166;6,6166
28/09/2012;7,3725;7,3725;;30/11/2012;7,875;7,875;;28/09/2012;8,25005;8,2501;;31/05/2019;7,4581;7,4581
31/10/2012;7,3875;7,3875;;31/12/2012;7,7475;7,7475;;31/10/2012;8,13985;8,1398;;30/04/2019;8,12845;8,1285
30/11/2012;7,2225;7,2225;;31/01/2013;8,02;8,02;;31/07/2013;10,70675;10,7068;;29/03/2019;8,14795;8,148
31/12/2012;7,155;7,155;;28/02/2013;8,325;8,325;;30/08/2013;11,838;11,838;;28/02/2019;8,1962;8,1962
31/01/2013;7,2575;7,2575;;29/03/2013;8,51495;8,515;;30/09/2013;11,4477;11,4477;;31/01/2019;8,0612;8,0612
28/02/2013;7,7825;7,7825;;30/04/2013;8,37;8,37;;31/10/2013;11,47315;11,4732;;31/12/2018;8,51405;8,514
29/03/2013;7,80245;7,8025;;31/05/2013;9,0625;9,0625;;29/11/2013;12,2192;12,2192;;30/11/2018;8,6601;8,6601
30/04/2013;7,99;7,99;;28/06/2013;9,9525;9,9525;;31/12/2013;12,42705;12,4271;;31/10/2018;8,80155;8,8016
31/05/2013;8,545;8,545;;31/07/2013;10,1002;10,1002;;31/01/2014;13,0962;13,0962;;28/09/2018;10,43955;10,4396
28/06/2013;8,98;8,98;;30/08/2013;11,15385;11,1539;;28/02/2014;12,35565;12,3557;;31/08/2018;10,6778;10,6778
31/07/2013;9,3325;9,3325;;30/09/2013;10,8453;10,8453;;31/03/2014;12,5352;12,5352;;31/07/2018;9,7524;9,7524
30/08/2013;10,16;10,16;;31/10/2013;11,08205;11,0821;;30/04/2014;12,3126;12,3126;;29/06/2018;10,09905;10,0991
30/09/2013;9,9575;9,9575;;29/11/2013;11,46495;11,465;;30/05/2014;11,70985;11,7099;;31/05/2018;9,7378;9,7378
31/10/2013;10,3525;10,3525;;31/12/2013;12,17;12,17;;30/06/2014;11,77345;11,7735;;30/04/2018;8,6743;8,6743
29/11/2013;10,395;10,395;;31/01/2014;12,6975;12,6975;;31/07/2014;11,6863;11,6863;;30/03/2018;8,27495;8,275
31/12/2013;10,66;10,66;;28/02/2014;12,16095;12,161;;29/08/2014;11,3499;11,3499;;28/02/2018;8,755;8,755
31/01/2014;11,7875;11,7875;;31/03/2014;12,3219;12,3219;;30/09/2014;12,39525;12,3953;;31/01/2018;9,0125;9,0125
28/02/2014;11,4122;11,4122;;30/04/2014;12,16895;12,169;;31/10/2014;12,36375;12,3638;;29/12/2017;9,355;9,355
31/03/2014;11,47495;11,475;;30/05/2014;11,6104;11,6104;;28/11/2014;12,13745;12,1375;;30/11/2017;9,645;9,645
30/04/2014;11,32505;11,325;;30/06/2014;11,51835;11,5184;;31/12/2014;12,95485;12,9549;;31/10/2017;9,4125;9,4125
30/05/2014;11,09255;11,0925;;31/07/2014;11,46285;11,4629;;30/01/2015;12,305;12,305;;29/09/2017;8,5311;8,5311
30/06/2014;10,99565;10,9957;;29/08/2014;11,38015;11,3802;;27/02/2015;12,5825;12,5825;;31/08/2017;8,90585;8,9058
31/07/2014;10,99875;10,9988;;30/09/2014;12,37585;12,3759;;31/03/2015;13,26;13,26;;31/07/2017;9,04525;9,0453
29/08/2014;11,2358;11,2358;;31/10/2014;12,4248;12,4248;;30/04/2015;13,2125;13,2125;;30/06/2017;9,8651;9,8651
30/09/2014;11,89355;11,8936;;28/11/2014;12,3931;12,3931;;29/05/2015;12,8025;12,8025;;31/05/2017;10,15635;10,1564
31/10/2014;12,20085;12,2009;;31/12/2014;13,07835;13,0784;;30/06/2015;13,26;13,26;;28/04/2017;9,9437;9,9437
28/11/2014;12,4601;12,4601;;30/01/2015;12,54;12,54;;31/07/2015;12,9071;12,9071;;31/03/2017;9,86485;9,8649
31/12/2014;12,9579;12,9579;;27/02/2015;12,7192;12,7192;;31/08/2015;14,18345;14,1835;;28/02/2017;10,083;10,083
30/01/2015;12,7925;12,7925;;31/03/2015;13,3601;13,3601;;30/09/2015;15,83725;15,8373;;31/01/2017;10,666;10,666
27/02/2015;13,06;13,06;;30/04/2015;13,39265;13,3927;;30/10/2015;15,92365;15,9237;;30/12/2016;9,6844;9,6844
31/03/2015;13,4925;13,4925;;29/05/2015;13,06745;13,0674;;30/11/2015;16,20205;16,2021;;30/11/2016;11,77375;11,7738
30/04/2015;13,7125;13,7125;;30/06/2015;13,65605;13,6561;;31/12/2015;16,66155;16,6615;;31/10/2016;11,39335;11,3934
29/05/2015;13,8525;13,8525;;31/07/2015;13,17525;13,1753;;29/01/2016;15,5559;15,5559;;30/09/2016;11,6071;11,6071
30/06/2015;14,33;14,33;;31/08/2015;14,18745;14,1875;;29/02/2016;15,11185;15,1119;;31/08/2016;12,1161;12,1161
31/07/2015;14,0133;14,0133;;30/09/2015;15,76785;15,7679;;31/03/2016;13,7813;13,7813;;29/07/2016;12,13925;12,1393
31/08/2015;14,38545;14,3855;;30/10/2015;15,7966;15,7966;;29/04/2016;12,50415;12,5041;;30/06/2016;12,27355;12,2736
30/09/2015;15,47025;15,4703;;30/11/2015;16,11995;16,12;;31/05/2016;12,81595;12,816;;31/05/2016;12,89295;12,893
30/10/2015;15,29655;15,2966;;31/12/2015;16,45975;16,4598;;30/06/2016;12,4284;12,4284;;29/04/2016;12,4637;12,4637
30/11/2015;15,5144;15,5144;;29/01/2016;15,23995;15,24;;29/07/2016;12,2975;12,2975;;31/03/2016;13,8494;13,8494
31/12/2015;15,63555;15,6356;;29/02/2016;14,7174;14,7174;;31/08/2016;12,225;12,225;;29/02/2016;15,44745;15,4475
29/01/2016;14,5975;14,5975;;31/03/2016;13,71575;13,7158;;30/09/2016;11,64;11,64;;29/01/2016;15,72505;15,7251
29/02/2016;14,185;14,185;;29/04/2016;12,68785;12,6878;;31/10/2016;11,5275;11,5275;;31/12/2015;16,74075;16,7407
31/03/2016;13,6925;13,6925;;31/05/2016;12,8561;12,8561;;30/11/2016;11,605;11,605;;30/11/2015;16,1423;16,1423
29/04/2016;13,315;13,315;;30/06/2016;12,78325;12,7833;;30/12/2016;11,1725;11,1725;;30/10/2015;15,97255;15,9726
31/05/2016;13,3775;13,3775;;29/07/2016;12,52125;12,5213;;31/01/2017;10,5;10,5;;30/09/2015;15,74435;15,7444
30/06/2016;13,6225;13,6225;;31/08/2016;12,38815;12,3882;;28/02/2017;9,9625;9,9625;;31/08/2015;14,23095;14,231
29/07/2016;13,0725;13,0725;;30/09/2016;11,77135;11,7714;;31/03/2017;9,7275;9,7275;;31/07/2015;12,89885;12,8989
31/08/2016;13,0225;13,0225;;31/10/2016;11,69195;11,692;;28/04/2017;9,7375;9,7375;;30/06/2015;12,98425;12,9843
30/09/2016;12,495;12,495;;30/11/2016;11,6962;11,6962;;31/05/2017;9,877501;9,8775;;29/05/2015;12,6293;12,6293
31/10/2016;12,545;12,545;;30/12/2016;11,03;11,03;;30/06/2017;9,5325;9,5325;;30/04/2015;13,07285;13,0729
30/11/2016;12,3775;12,3775;;31/01/2017;10,3775;10,3775;;31/07/2017;8,7175;8,7175;;31/03/2015;13,1939;13,1939
30/12/2016;11,49;11,49;;28/02/2017;9,8475;9,8475;;31/08/2017;8,54;8,54;;27/02/2015;12,5179;12,5179
31/01/2017;10,825;10,825;;31/03/2017;9,58365;9,5837;;29/09/2017;8,6498;8,6498;;30/01/2015;12,1896;12,1896
28/02/2017;10,2725;10,2725;;28/04/2017;9,4888;9,4888;;31/10/2017;8,8264;8,8264;;31/12/2014;12,8413;12,8413
31/03/2017;9,674999;9,675;;31/05/2017;9,47215;9,4721;;30/11/2017;8,95935;8,9594;;28/11/2014;12,0726;12,0726
28/04/2017;9,32;9,32;;30/06/2017;9,0862;9,0862;;29/12/2017;8,6328;8,6328;;31/10/2014;12,3881;12,3881
31/05/2017;9,1425;9,1425;;31/07/2017;8,2517;8,2517;;31/01/2018;8,47075;8,4708;;30/09/2014;12,45015;12,4502
30/06/2017;8,7325;8,7325;;31/08/2017;7,94315;7,9432;;28/02/2018;8,0684;8,0684;;29/08/2014;11,3709;11,3709
31/07/2017;7,955;7,955;;29/09/2017;7,93595;7,936;;30/03/2018;7,5532;7,5532;;31/07/2014;11,71705;11,7171
31/08/2017;7,53;7,53;;31/10/2017;8,15295;8,153;;30/04/2018;8,3225;8,3225;;30/06/2014;11,87065;11,8707
29/09/2017;7,1234;7,1234;;30/11/2017;8,1341;8,1341;;31/05/2018;9,27745;9,2775;;30/05/2014;11,75705;11,7571
31/10/2017;7,06865;7,0687;;29/12/2017;7,78165;7,7817;;29/06/2018;9,665;9,665;;30/04/2014;12,37025;12,3703
30/11/2017;6,8711;6,8711;;31/01/2018;7,691;7,691;;31/07/2018;9,315001;9,315;;31/03/2014;12,5935;12,5935
29/12/2017;6,8175;6,8175;;28/02/2018;7,27795;7,278;;31/08/2018;10,225;10,225;;28/02/2014;12,42235;12,4224
31/01/2018;6,7575;6,7575;;30/03/2018;6,77305;6,7731;;28/09/2018;10,03;10,03;;31/01/2014;13,14315;13,1432
28/02/2018;6,5475;6,5475;;30/04/2018;7,2124;7,2124;;31/10/2018;8,47395;8,474;;31/12/2013;12,649;12,649
30/03/2018;6,19;6,19;;31/05/2018;7,9748;7,9748;;30/11/2018;8,35705;8,357;;29/11/2013;12,52855;12,5285
30/04/2018;6,2871;6,2871;;29/06/2018;8,5414;8,5414;;31/12/2018;8,3459;8,3459;;31/10/2013;11,5519;11,5519
31/05/2018;7,00095;7,001;;31/07/2018;8,13325;8,1333;;31/01/2019;7,92645;7,9265;;30/09/2013;11,42935;11,4294
29/06/2018;7,59;7,59;;31/08/2018;8,9351;8,9351;;28/02/2019;8,0755;8,0755;;30/08/2013;11,91933;11,9193
31/07/2018;7,2225;7,2225;;28/09/2018;8,57755;8,5776;;29/03/2019;8,03635;8,0364;;31/07/2013;10,76591;10,7659
31/08/2018;7,87;7,87;;31/10/2018;7,4333;7,4333;;30/04/2019;8,05435;8,0544;;28/06/2013;10,87416;10,8742
28/09/2018;7,92025;7,9203;;30/11/2018;7,2385;7,2385;;31/05/2019;7,3471;7,3471;;31/05/2013;9,797515;9,7975
31/10/2018;6,90945;6,9095;;31/12/2018;7,7783;7,7783;;28/06/2019;6,50695;6,507;;30/04/2013;8,86791;8,8679
30/11/2018;6,7875;6,7875;;31/01/2019;7,3511;7,3511;;31/07/2019;6,1614;6,1614;;29/03/2013;9,34534;9,3453
31/12/2018;6,9402;6,9402;;28/02/2019;7,5305;7,5305;;30/08/2019;6,37495;6,375;;28/02/2013;8,965115;8,9651
31/01/2019;6,62815;6,6282;;29/03/2019;7,50645;7,5065;;30/09/2019;5,8475;5,8475;;31/01/2013;8,723885;8,7239
28/02/2019;6,77715;6,7772;;30/04/2019;7,50865;7,5087;;31/10/2019;5,1963;5,1963;;31/12/2012;8,32758;8,3276
29/03/2019;6,6102;6,6102;;31/05/2019;6,80485;6,8049;;29/11/2019;5,64135;5,6414;;30/11/2012;8,617745;8,6177
30/04/2019;6,5523;6,5523;;28/06/2019;6,0826;6,0826;;31/12/2019;5,5535;5,5535;;31/10/2012;8,40779;8,4078
31/05/2019;6,21215;6,2122;;31/07/2019;5,70315;5,7032;;31/01/2020;5,30745;5,3075;;28/09/2012;8,8225;8,8225
28/06/2019;5,81225;5,8123;;30/08/2019;5,83035;5,8304;;28/02/2020;4,83935;4,8393;;31/08/2012;8,877501;8,8775
31/07/2019;5,43395;5,434;;30/09/2019;5,274;5,274;;31/03/2020;5,98105;5,9811;;31/07/2012;8,84;8,84
30/08/2019;5,34205;5,3421;;31/10/2019;4,7107;4,7107;;30/04/2020;5,4647;5,4647;;29/06/2012;9,1314;9,1314
30/09/2019;4,8648;4,8648;;29/11/2019;5,0369;5,0369;;29/05/2020;4,84895;4,849;;31/05/2012;9,5514;9,5514
31/10/2019;4,45515;4,4552;;31/12/2019;4,9234;4,9234;;30/06/2020;4,6332;4,6332;;30/04/2012;9,98215;9,9822
29/11/2019;4,5676;4,5676;;31/01/2020;4,68735;4,6874;;31/07/2020;4,302;4,302;;30/03/2012;10,6263;10,6263
31/12/2019;4,4224;4,4224;;28/02/2020;4,2449;4,2449;;31/08/2020;5,32025;5,3203;;29/02/2012;10,71905;10,7191
31/01/2020;4,51695;4,5169;;31/03/2020;4,7913;4,7913;;30/09/2020;5,8664;5,8664;;29/07/2011;12,82375;12,8238
28/02/2020;4,15275;4,1528;;30/04/2020;4,27565;4,2757;;30/10/2020;6,3797;6,3797;;30/06/2011;12,6476;12,6476
31/03/2020;3,4069;3,4069;;29/05/2020;3,78025;3,7803;;30/11/2020;6,4189;6,4189;;31/05/2011;12,54475;12,5448
30/04/2020;2,92665;2,9267;;30/06/2020;3,5772;3,5772;;31/12/2020;5,37425;5,3743;;29/04/2011;12,76965;12,7697
29/05/2020;2,40885;2,4089;;31/07/2020;3,30845;3,3085;;29/01/2021;6,04805;6,0481;;31/03/2011;13,0512;13,0512
30/06/2020;2,68995;2,69;;31/08/2020;3,61075;3,6108;;26/02/2021;6,967;6,967;;28/02/2011;12,7198;12,7198
31/07/2020;2,51465;2,5147;;30/09/2020;4,32315;4,3232;;31/03/2021;8,0953;8,0953;;31/01/2011;13,0201;13,0201
31/08/2020;2,666;2,666;;30/10/2020;4,90595;4,906;;30/04/2021;7,88085;7,8809;;31/12/2010;10,5443;10,5443
30/09/2020;2,83455;2,8346;;30/11/2020;4,881;4,881;;31/05/2021;8,00465;8,0047;;30/11/2010;12,4099;12,4099
30/10/2020;3,1062;3,1062;;31/12/2020;4,33845;4,3385;;30/06/2021;8,1026;8,1026;;29/10/2010;11,845;11,845
30/11/2020;3,0097;3,0097;;29/01/2021;4,9323;4,9323;;30/07/2021;8,7577;8,7577;;30/09/2010;12,0125;12,0125
31/12/2020;3,36635;3,3664;;26/02/2021;5,7617;5,7617;;31/08/2021;9,58375;9,5838;;31/08/2010;11,6048;11,6048
29/01/2021;3,87585;3,8759;;31/03/2021;6,5524;6,5524;;30/09/2021;10,23735;10,2374;;30/07/2010;12,0274;12,0274
26/02/2021;4,3817;4,3817;;30/04/2021;6,45525;6,4553;;29/10/2021;12,22795;12,228;;30/06/2010;12,3224;12,3224
31/03/2021;5,17545;5,1755;;31/05/2021;6,8422;6,8422;;30/11/2021;11,43415;11,4342;;;;
30/04/2021;5,2272;5,2272;;30/06/2021;7,6967;7,6967;;31/12/2021;10,6758;10,6758;;;;
31/05/2021;5,68935;5,6894;;30/07/2021;8,3987;8,3987;;31/01/2022;11,24875;11,2488;;;;
30/06/2021;6,68195;6,682;;31/08/2021;9,04045;9,0405;;28/02/2022;11,40135;11,4014;;;;
30/07/2021;7,43915;7,4392;;30/09/2021;9,6988;9,6988;;31/03/2022;11,4886;11,4886;;;;
31/08/2021;8,03945;8,0395;;29/10/2021;12,45375;12,4538;;29/04/2022;12,29195;12,292;;;;
29/10/2021;12,03375;12,0338;;30/11/2021;11,7024;11,7024;;31/05/2022;12,533;12,533;;;;
30/11/2021;11,62335;11,6234;;31/12/2021;11,10395;11,104;;30/06/2022;12,9237;12,9237;;;;
31/12/2021;11,80225;11,8023;;31/01/2022;11,8413;11,8413;;29/07/2022;12,84195;12,842;;;;
31/01/2022;12,28;12,28;;28/02/2022;12,05045;12,0505;;31/08/2022;12,014;12,014;;;;
28/02/2022;12,4779;12,4779;;31/03/2022;12,15945;12,1595;;30/09/2022;11,6781;11,6781;;;;
31/03/2022;12,74505;12,7451;;29/04/2022;12,6912;12,6912;;;;;;;;
29/04/2022;13,0587;13,0587;;31/05/2022;12,98942;12,9894;;;;;;;;
31/05/2022;13,41222;13,4122;;30/06/2022;13,50691;13,5069;;;;;;;;
30/06/2022;13,77745;13,7775;;29/07/2022;13,44953;13,4495;;;;;;;;
29/07/2022;13,82025;13,8203;;31/08/2022;12,3222;12,3222;;;;;;;;
31/08/2022;13,36865;13,3687;;30/09/2022;11,88755;11,8875;;;;;;;;
30/09/2022;13,1672;13,1672;;;;;;;;;;;;
